quote,author,birth_date,birth_place
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,"August 07, 1942","in Anoka, Minnesota, The United States"
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,"September 24, 1936","in Greenville, Mississippi, The United States"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"November 26, 1922","in Minneapolis, MN, The United States"
“We read to know we're not alone.”,William Nicholson,"January 12, 1948","in Lewes, Sussex, The United Kingdom"
“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges,"August 24, 1899","in Buenos Aires, Argentina"
“It is never too late to be what you might have been.”,George Eliot,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin,"September 20, 1948","in Bayonne, New Jersey, The United States"
“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis,"November 29, 1898","in Belfast, Ireland"
“Only in the darkness can you see the stars.”,Martin Luther King Jr.,"January 15, 1929","in Atlanta, Georgia, The United States"
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,"August 02, 1924","in Harlem, New York, The United States"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami,"January 12, 1949","in Kyoto, Japan"
“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils,"July 27, 1824","in Paris, France"
"“He's like a drug for you, Bella.”",Stephenie Meyer,"December 24, 1973","in Connecticut, The United States"
“There is no friend as loyal as a book.”,Ernest Hemingway,"July 21, 1899","in Oak Park, Illinois, The United States"
"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller,"June 27, 1880","in Tuscumbia, Alabama, The United States"
“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw,"July 26, 1856","in Dublin, Ireland"
"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",Charles Bukowski,"August 16, 1920","in Andernach, Germany"
“You don’t forget the face of the person who was your last hope.”,Suzanne Collins,"August 11, 1962","in Hartford, Connecticut, The United States"
“Not all those who wander are lost.”,J.R.R. Tolkien,"January 03, 1892","in Bloemfontein, Mangaung, Free State, South Africa"
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,"August 06, 1809","in Somersby, Lincolnshire, The United Kingdom"
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,"April 28, 1948","in Beaconsfield, Buckinghamshire, England, The United Kingdom"
"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger,"January 01, 1919","in Manhattan, New York, The United States"
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,"May 12, 1937","in New York, New York, The United States"
"“You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”",John Lennon,"October 09, 1940","in Liverpool, England, The United Kingdom"
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,"January 29, 1880","in Darby, Pennsylvania, The United States"
“The question isn't who is going to let me; it's who is going to stop me.”,Ayn Rand,"February 02, 1905","in St. Petersburg, Russian Federation"
"“I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”",Jimi Hendrix,"November 27, 1942","in Seattle, Washington, The United States"
“To die will be an awfully big adventure.”,J.M. Barrie,"May 09, 1860","in Kirriemuir, Angus, Scotland, The United Kingdom"
“It takes courage to grow up and become who you really are.”,E.E. Cummings,"October 14, 1894","in Cambridge, Massachusetts, The United States"
“But better to get hurt by the truth than comforted with a lie.”,Khaled Hosseini,"March 04, 1965","in Kabul, Afghanistan"
“You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”,Harper Lee,"April 28, 1926","in Monroeville, Alabama, The United States"
"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle,"November 29, 1918","in New York City, New York, The United States"
